epoca,error_medio
10,0.37985231964366256
20,0.28629544283021013
30,0.22222706445578042
40,0.18647561564232423
50,0.16007072569116576
60,0.1385574250591449
70,0.12241759082053388
80,0.10866739126708656
90,0.09601645394036919
100,0.08734636920189585
110,0.08263324415583845
120,0.07443720835984466
130,0.06821506195839219
140,0.06399902430763854
150,0.059601006495130365
160,0.05543380803131222
170,0.05162623241476389
180,0.047720225467786544
190,0.04586730566656273
200,0.04335331844861854
210,0.040944985740906076
220,0.039901640704976246
230,0.03890605807391326
240,0.036616321905575344
250,0.03486954109274168
260,0.03354118569705326
270,0.0321221045042793
280,0.030355041509474448
290,0.029314067639936544
300,0.028395068489111438
310,0.02733603062972109
320,0.026233413414773765
330,0.02542496736641965
340,0.02456982707836599
350,0.024068234306479183
360,0.023174462969886032
370,0.022451223915851984
380,0.0220804582972311
390,0.02152407984122859
400,0.02134467430392205
410,0.02084792009025934
420,0.020024842818704452
430,0.019462734015417645
440,0.01875613675597589
450,0.01848173509802396
460,0.018002248635905715
470,0.017649941254504708
480,0.017522577444415058
490,0.0168446714396073
500,0.01637747104810239
510,0.015957827980937908
520,0.015747761911619255
530,0.015470589302522904
540,0.01516543709976241
550,0.015570840838906317
560,0.014826760511870889
570,0.014261184903935274
580,0.013725656589810026
590,0.01342631582690919
600,0.013102798336860684
610,0.012822302831527339
620,0.012500684517135843
630,0.012310380391801386
640,0.012263775340120296
650,0.011917653407092905
660,0.012176755620833124
670,0.011385552122407615
680,0.01095449135897467
690,0.010768695491575088
700,0.010473239259166161
710,0.010209312624037547
720,0.01016252473430966
730,0.010087614575436585
740,0.009784776302131181
750,0.00966537005808507
760,0.009522491610018814
770,0.009451337707726305
780,0.009287634325165717
790,0.009240291457730459
800,0.009076662260089375
810,0.009032257710102276
820,0.008951055253896075
830,0.008827950296293675
840,0.008785697012953038
850,0.008749596689340501
860,0.008594644071131679
870,0.008562106923733874
880,0.008515764864865298
890,0.008425280457043017
900,0.008354176610496472
910,0.008260270246534229
920,0.00824217391624651
930,0.008184680400365393
940,0.008136970015884626
950,0.008053143774605894
960,0.008156286861926133
970,0.007901737503160233
980,0.007756398357347737
990,0.007904249393973984
1000,0.007492619062491932

Total de epocas recorridas: 1000
